CodigoRecinto,CodigoActa,NroMesa,VotantesHabilitados
1030100067,1.0301E+12,8,601
1030100067,1.0301E+12,9,405
1030100067,1.0301E+12,10,176
1030100067,1.0301E+12,11,959
1030100067,1.0301E+12,12,440
1030100067,1.0301E+12,13,621
1030100067,1.0301E+12,14,583
1030200081,1.0302E+12,1,781
1030200081,1.0302E+12,2,757
1030200081,1.0302E+12,3,347
1030200081,1.0302E+12,4,459
1030200081,1.0302E+12,5,468
1030200081,1.0302E+12,6,80
1030200087,1.0302E+12,1,45
1030200087,1.0302E+12,2,236
1030200087,1.0302E+12,3,788
1030200087,1.0302E+12,4,501
1030200087,1.0302E+12,5,257
1030200087,1.0302E+12,6,734
1030200087,1.0302E+12,7,276
1030200087,1.0302E+12,8,235
1030200087,1.0302E+12,9,752
1030200087,1.0302E+12,10,37
1030300097,1.0303E+12,1,10
1030300097,1.0303E+12,2,702
1030300097,1.0303E+12,3,582
1030300097,1.0303E+12,4,745
1030300097,1.0303E+12,5,706
1030300097,1.0303E+12,6,553
1030300097,1.0303E+12,7,248
1030300097,1.0303E+12,8,421
1030300097,1.0303E+12,9,153
1030300097,1.0303E+12,10,674
1030300097,1.0303E+12,11,233
1030300097,1.0303E+12,12,257
1030300097,1.0303E+12,13,223
1030300097,1.0303E+12,14,721
1030300097,1.0303E+12,15,457
1030300097,1.0303E+12,16,859
1030300097,1.0303E+12,17,331
1030300097,1.0303E+12,18,366
1030400115,1.0304E+12,1,718
1030400115,1.0304E+12,2,266
1030400115,1.0304E+12,3,323
1030400115,1.0304E+12,4,893
1030400115,1.0304E+12,5,699
1030400115,1.0304E+12,6,992
1030400121,1.0304E+12,1,364
1030400121,1.0304E+12,2,745
1030400121,1.0304E+12,3,912
1030400121,1.0304E+12,4,847
1040100125,1.0401E+12,1,542
1040100125,1.0401E+12,2,97
1040100125,1.0401E+12,3,13
1040100125,1.0401E+12,4,645
1040100125,1.0401E+12,5,126
1040100125,1.0401E+12,6,733
1040100125,1.0401E+12,7,48
1040100132,1.0401E+12,1,717
1040100132,1.0401E+12,2,195
1040100132,1.0401E+12,3,714
1040100132,1.0401E+12,4,482
1040100132,1.0401E+12,5,705
1040100132,1.0401E+12,6,722
1040100132,1.0401E+12,7,945
1040100132,1.0401E+12,8,532
1040100132,1.0401E+12,9,774
1040100132,1.0401E+12,10,141
1040100132,1.0401E+12,11,520
1040100143,1.0401E+12,1,621
1040100143,1.0401E+12,2,92
1040100143,1.0401E+12,3,257
1040100143,1.0401E+12,4,126
1040100143,1.0401E+12,5,158
1040100143,1.0401E+12,6,173
1040100143,1.0401E+12,7,279
1040200150,1.0402E+12,1,133
1040200150,1.0402E+12,2,215
1040200150,1.0402E+12,3,630
1040200150,1.0402E+12,4,195
1040200150,1.0402E+12,5,917
1040200150,1.0402E+12,6,648
1040200150,1.0402E+12,7,608
1040200150,1.0402E+12,8,845
1040200150,1.0402E+12,9,353
1040200150,1.0402E+12,10,11
1040200150,1.0402E+12,11,377
1040200161,1.0402E+12,1,712
1040200161,1.0402E+12,2,642
1040200161,1.0402E+12,3,444
1040200161,1.0402E+12,4,787
1040200161,1.0402E+12,5,382
1040200161,1.0402E+12,6,110
1040200161,1.0402E+12,7,619
1040200161,1.0402E+12,8,570
1040200161,1.0402E+12,9,119
1040200161,1.0402E+12,10,583
1040200161,1.0402E+12,11,324
1040200161,1.0402E+12,12,923
1040200161,1.0402E+12,13,493
1040200161,1.0402E+12,14,91
1040200161,1.0402E+12,15,261
1040200161,1.0402E+12,16,792
1040200161,1.0402E+12,17,179
1040300178,1.0403E+12,1,39
1040300178,1.0403E+12,2,854
1040300178,1.0403E+12,3,244
1040300181,1.0403E+12,1,62
1040300181,1.0403E+12,2,748
1040300181,1.0403E+12,3,708
1040300181,1.0403E+12,4,273
1040300181,1.0403E+12,5,400
1040400186,1.0404E+12,1,837
1040400186,1.0404E+12,2,989
1040400186,1.0404E+12,3,982
1040400189,1.0404E+12,1,314
1040400189,1.0404E+12,2,573
1040400189,1.0404E+12,3,636
1040400189,1.0404E+12,4,324
1040400189,1.0404E+12,5,6
1040400189,1.0404E+12,6,427
1040400189,1.0404E+12,7,557
1040400189,1.0404E+12,8,858
1040400197,1.0404E+12,1,369
1040400197,1.0404E+12,2,757
1040400197,1.0404E+12,3,522
1040400197,1.0404E+12,4,220
1040400197,1.0404E+12,5,784
1040400197,1.0404E+12,6,876
1040400197,1.0404E+12,7,681
1040400197,1.0404E+12,8,569
1040400197,1.0404E+12,9,510
1040500206,1.0405E+12,1,35
1040500206,1.0405E+12,2,661
1040500206,1.0405E+12,3,287
1040500206,1.0405E+12,4,970
1040500206,1.0405E+12,5,570
1040500206,1.0405E+12,6,138
1040500206,1.0405E+12,7,310
1040500206,1.0405E+12,8,652
1040500206,1.0405E+12,9,466
1040500206,1.0405E+12,10,28
1040500206,1.0405E+12,11,618
1040500206,1.0405E+12,12,31
1060100218,1.0601E+12,1,847
1060100218,1.0601E+12,2,365
1060100218,1.0601E+12,3,721
1060100221,1.0601E+12,1,564
1060100221,1.0601E+12,2,140
1060100221,1.0601E+12,3,253
1060100221,1.0601E+12,4,466
1060100221,1.0601E+12,5,197
1060100221,1.0601E+12,6,873
1060100221,1.0601E+12,7,364
1060100221,1.0601E+12,8,260
1060100221,1.0601E+12,9,69
1060100221,1.0601E+12,10,326
1060100231,1.0601E+12,1,413
1060100231,1.0601E+12,2,805
1060100231,1.0601E+12,3,839
1060100231,1.0601E+12,4,562
1060100231,1.0601E+12,5,103
1060100231,1.0601E+12,6,736
1060100231,1.0601E+12,7,984
1060100231,1.0601E+12,8,435
1060100231,1.0601E+12,9,700
1060100231,1.0601E+12,10,410
1060100231,1.0601E+12,11,313
1060200242,1.0602E+12,1,339
1060200242,1.0602E+12,2,942
1060200242,1.0602E+12,3,752
1060200242,1.0602E+12,4,420
1060200242,1.0602E+12,5,305
1060200242,1.0602E+12,6,636
1060200242,1.0602E+12,7,366
1060200242,1.0602E+12,8,334
1060200242,1.0602E+12,9,289
1060200242,1.0602E+12,10,93
1060200242,1.0602E+12,11,751
1060200242,1.0602E+12,12,327
1060200242,1.0602E+12,13,635
1060200242,1.0602E+12,14,754
1060200242,1.0602E+12,15,635
1060200242,1.0602E+12,16,218
1060200242,1.0602E+12,17,71
1060200242,1.0602E+12,18,481
1060200242,1.0602E+12,19,427
1060200261,1.0602E+12,1,759
1060200261,1.0602E+12,2,918
1060200261,1.0602E+12,3,184
1060200261,1.0602E+12,4,764
1060200261,1.0602E+12,5,641
1060200261,1.0602E+12,6,890
1060200261,1.0602E+12,7,487
1060200261,1.0602E+12,8,596
1060200261,1.0602E+12,9,758
1070100270,1.0701E+12,1,648
1070100270,1.0701E+12,2,909
1070200272,1.0702E+12,1,413
1070200272,1.0702E+12,2,623
1070200274,1.0702E+12,1,668
1070200274,1.0702E+12,2,435
1070200274,1.0702E+12,3,258
1070200274,1.0702E+12,4,527
1070200274,1.0702E+12,5,258
1070200274,1.0702E+12,6,242
1070200274,1.0702E+12,7,143
1070200274,1.0702E+12,8,170
1070200274,1.0702E+12,9,868
1070200274,1.0702E+12,10,539
1070200274,1.0702E+12,11,878
1070200285,1.0702E+12,1,199
1070200285,1.0702E+12,2,945
1070200285,1.0702E+12,3,770
1070200285,1.0702E+12,4,430
1070200285,1.0702E+12,5,478
1070200285,1.0702E+12,6,192
1070200285,1.0702E+12,7,7
1070200285,1.0702E+12,8,472
1070200285,1.0702E+12,9,976
1070200285,1.0702E+12,10,237
1070300295,1.0703E+12,1,186
1070300295,1.0703E+12,2,942
1070300295,1.0703E+12,3,831
1070300295,1.0703E+12,4,686
1070300295,1.0703E+12,5,105
1070300300,1.0703E+12,1,292
1070300300,1.0703E+12,2,438
1070300300,1.0703E+12,3,679
1070300300,1.0703E+12,4,674
1070300300,1.0703E+12,5,693
1070300300,1.0703E+12,6,454
1070300300,1.0703E+12,7,982
1070300300,1.0703E+12,8,64
1070300300,1.0703E+12,9,129
1070300300,1.0703E+12,10,898
1070300300,1.0703E+12,11,289
1070300300,1.0703E+12,12,720
1070300300,1.0703E+12,13,591
1070300300,1.0703E+12,14,27
1070300300,1.0703E+12,15,845
1070300300,1.0703E+12,16,497
1070300300,1.0703E+12,17,400
1070300300,1.0703E+12,18,646
1070300318,1.0703E+12,1,71
1070300318,1.0703E+12,2,993
1070300318,1.0703E+12,3,17
1070300318,1.0703E+12,4,193
1070300318,1.0703E+12,5,985
1070300318,1.0703E+12,6,531
1070300318,1.0703E+12,7,113
1070300318,1.0703E+12,8,673
1070400326,1.0704E+12,1,640
1070400326,1.0704E+12,2,370
1070400326,1.0704E+12,3,978
1070400326,1.0704E+12,4,26
1070400326,1.0704E+12,5,860
1070400326,1.0704E+12,6,626
1070400326,1.0704E+12,7,194
1070400326,1.0704E+12,8,393
1070400326,1.0704E+12,9,244
1070400326,1.0704E+12,10,411
1070400326,1.0704E+12,11,300
1070400326,1.0704E+12,12,918
1070400326,1.0704E+12,13,666
1070400326,1.0704E+12,14,739
1070400326,1.0704E+12,15,960
1070400326,1.0704E+12,16,847
1070400342,1.0704E+12,1,654
1070400342,1.0704E+12,2,612
1070400342,1.0704E+12,3,4
1070400342,1.0704E+12,4,972
1070400342,1.0704E+12,5,721
1070400342,1.0704E+12,6,922
1070400342,1.0704E+12,7,416
1090100349,1.0901E+12,1,461
1090100349,1.0901E+12,2,758
1090100349,1.0901E+12,3,522
1090100349,1.0901E+12,4,278
1090100349,1.0901E+12,5,304
1090100349,1.0901E+12,6,33
1090100349,1.0901E+12,7,903
1090100349,1.0901E+12,8,353
1090100349,1.0901E+12,9,558
1090100349,1.0901E+12,10,315
1090100349,1.0901E+12,11,573
1090100349,1.0901E+12,12,338
1090100349,1.0901E+12,13,249
1090100349,1.0901E+12,14,458
1090100363,1.0901E+12,1,406
1090100363,1.0901E+12,2,87
1090200365,1.0902E+12,1,702
1090200365,1.0902E+12,2,748
1090200365,1.0902E+12,3,805
1090200365,1.0902E+12,4,492
1090200365,1.0902E+12,5,286
1090300370,1.0903E+12,1,606
1090300370,1.0903E+12,2,223
1090300370,1.0903E+12,3,512
1090300370,1.0903E+12,4,670
1090300370,1.0903E+12,5,223
1090300370,1.0903E+12,6,87
1090300370,1.0903E+12,7,911
1090300370,1.0903E+12,8,53
1090300370,1.0903E+12,9,877
1090300370,1.0903E+12,10,227
1090300370,1.0903E+12,11,565
1090300370,1.0903E+12,12,893
1090300370,1.0903E+12,13,557
1090300370,1.0903E+12,14,605
1090300384,1.0903E+12,1,775
1090300384,1.0903E+12,2,472
1090300384,1.0903E+12,3,121
1090300384,1.0903E+12,4,779
1090300384,1.0903E+12,5,769
1090300384,1.0903E+12,6,598
1090300384,1.0903E+12,7,110
1090300384,1.0903E+12,8,506
1090300384,1.0903E+12,9,528
1090300384,1.0903E+12,10,643
1090300384,1.0903E+12,11,150
1090300384,1.0903E+12,12,374
1090300396,1.0903E+12,1,147
1090300396,1.0903E+12,2,969
1090300396,1.0903E+12,3,554
1090300396,1.0903E+12,4,242
1090300396,1.0903E+12,5,390
1100100401,1.1001E+12,1,664
1100100401,1.1001E+12,2,401
1100100401,1.1001E+12,3,160
1100100401,1.1001E+12,4,763
1100100401,1.1001E+12,5,478
1100100401,1.1001E+12,6,94
1100100401,1.1001E+12,7,227
1100100401,1.1001E+12,8,512
1100100401,1.1001E+12,9,207
1100200410,1.1002E+12,1,903
1100200410,1.1002E+12,2,53
1100200410,1.1002E+12,3,598
1100200410,1.1002E+12,4,168
1100200410,1.1002E+12,5,660
1100200410,1.1002E+12,6,539
1100200410,1.1002E+12,7,23
1100200417,1.1002E+12,1,628
1100200417,1.1002E+12,2,158
1100200417,1.1002E+12,3,741
1100200417,1.1002E+12,4,550
1100200417,1.1002E+12,5,643
1100200417,1.1002E+12,6,359
2010200423,2.0102E+12,1,251
2010200423,2.0102E+12,2,229
2010200423,2.0102E+12,3,20
2010200423,2.0102E+12,4,968
2010200423,2.0102E+12,5,868
2010200423,2.0102E+12,6,758
2010200423,2.0102E+12,7,53
2010200423,2.0102E+12,8,788
2010200423,2.0102E+12,9,123
2010200423,2.0102E+12,10,892
2010200423,2.0102E+12,11,204
2010200423,2.0102E+12,12,640
2010200423,2.0102E+12,13,69
2010200423,2.0102E+12,14,118
2010200423,2.0102E+12,15,223
2010200423,2.0102E+12,16,935
2010200423,2.0102E+12,17,789
2010200423,2.0102E+12,18,336
2010200441,2.0102E+12,1,898
2010200441,2.0102E+12,2,457
2010200441,2.0102E+12,3,734
2010400444,2.0104E+12,1,190
2010400444,2.0104E+12,2,980
2010400444,2.0104E+12,3,341
2010400444,2.0104E+12,4,812
2010400444,2.0104E+12,5,359
2010400449,2.0104E+12,1,673
2010400449,2.0104E+12,2,569
2010400449,2.0104E+12,3,755
2010400449,2.0104E+12,4,135
2010400449,2.0104E+12,5,616
2010400449,2.0104E+12,6,67
2010400449,2.0104E+12,7,803
2010400449,2.0104E+12,8,661
2010400449,2.0104E+12,9,468
2010400449,2.0104E+12,10,94
2010400449,2.0104E+12,11,168
2010400449,2.0104E+12,12,359
2010400449,2.0104E+12,13,191
2010400449,2.0104E+12,14,525
2010400449,2.0104E+12,15,19
2010400449,2.0104E+12,16,556
2010400465,2.0104E+12,1,555
2010400465,2.0104E+12,2,961
2010400465,2.0104E+12,3,323
2010400465,2.0104E+12,4,521
2010400465,2.0104E+12,5,768
2010400465,2.0104E+12,6,650
2010400465,2.0104E+12,7,833
2010400465,2.0104E+12,8,180
2010400465,2.0104E+12,9,843
2010400465,2.0104E+12,10,993
2010400465,2.0104E+12,11,960
2010400465,2.0104E+12,12,535
2010400465,2.0104E+12,13,110
2010400465,2.0104E+12,14,562
2010400465,2.0104E+12,15,916
2010400465,2.0104E+12,16,220
2010400465,2.0104E+12,17,25
2010400465,2.0104E+12,18,20
2010400465,2.0104E+12,19,723
2010500484,2.0105E+12,1,834
2010500484,2.0105E+12,2,460
2010500484,2.0105E+12,3,915
2010500484,2.0105E+12,4,795
2010500484,2.0105E+12,5,142
2010500484,2.0105E+12,6,506
2010500484,2.0105E+12,7,642
2010500484,2.0105E+12,8,315
2010500484,2.0105E+12,9,65
2020100493,2.0201E+12,1,987
2020100493,2.0201E+12,2,913
2020100495,2.0201E+12,1,226
2020100495,2.0201E+12,2,58
2020200497,2.0202E+12,1,633
2020200497,2.0202E+12,2,882
2020200497,2.0202E+12,3,79
2020200497,2.0202E+12,4,335
2020200497,2.0202E+12,5,195
2020200497,2.0202E+12,6,496
2020200497,2.0202E+12,7,137
2020200497,2.0202E+12,8,802
2020200505,2.0202E+12,1,509
2020200505,2.0202E+12,2,908
2020200505,2.0202E+12,3,72
2020200505,2.0202E+12,4,692
2020300509,2.0203E+12,1,210
2020300509,2.0203E+12,2,11
2020300509,2.0203E+12,3,970
2020300509,2.0203E+12,4,377
2020300509,2.0203E+12,5,592
2020300509,2.0203E+12,6,914
2020300509,2.0203E+12,7,776
2020300509,2.0203E+12,8,695
2020300509,2.0203E+12,9,427
2020300509,2.0203E+12,10,920
2020300509,2.0203E+12,11,35
2020300509,2.0203E+12,12,200
2020300509,2.0203E+12,13,182
2020300522,2.0203E+12,1,637
2020300522,2.0203E+12,2,67
2020300522,2.0203E+12,3,609
2020300522,2.0203E+12,4,213
2020300522,2.0203E+12,5,610
2020300522,2.0203E+12,6,202
2020300522,2.0203E+12,7,391
2020300522,2.0203E+12,8,271
2020300522,2.0203E+12,9,487
2020300522,2.0203E+12,10,791
2020300522,2.0203E+12,11,890
2020400533,2.0204E+12,1,429
2020400533,2.0204E+12,2,522
2020400533,2.0204E+12,3,44
2020400533,2.0204E+12,4,223
2020400533,2.0204E+12,5,242
2020400533,2.0204E+12,6,749
2020400533,2.0204E+12,7,442
2020400533,2.0204E+12,8,587
2020400533,2.0204E+12,9,267
2020400533,2.0204E+12,10,149
2020400533,2.0204E+12,11,771
2020400533,2.0204E+12,12,112
2020400533,2.0204E+12,13,410
2020400533,2.0204E+12,14,590
2020400533,2.0204E+12,15,330
2020400533,2.0204E+12,16,386
2020400533,2.0204E+12,17,82
2020400533,2.0204E+12,18,214
2020400533,2.0204E+12,19,221
2020400533,2.0204E+12,20,126
2020600553,2.0206E+12,1,784
2020600553,2.0206E+12,2,289
2020600553,2.0206E+12,3,884
2020600556,2.0206E+12,1,490
2020600556,2.0206E+12,2,121
2020600556,2.0206E+12,3,705
2020600556,2.0206E+12,4,153
2020600556,2.0206E+12,5,222
2020600556,2.0206E+12,6,256
2020600556,2.0206E+12,7,83
2020600556,2.0206E+12,8,725
2020600556,2.0206E+12,9,621
2020600556,2.0206E+12,10,218
2020600556,2.0206E+12,11,631
2020600556,2.0206E+12,12,138
2020600556,2.0206E+12,13,887
2020600556,2.0206E+12,14,112
2020600570,2.0206E+12,1,711
2020600570,2.0206E+12,2,597
2020600570,2.0206E+12,3,524
2020600570,2.0206E+12,4,878
2020600570,2.0206E+12,5,169
2020600570,2.0206E+12,6,728
2020600570,2.0206E+12,7,911
2020600570,2.0206E+12,8,9
2020600570,2.0206E+12,9,660
2020600570,2.0206E+12,10,245
2020600570,2.0206E+12,11,96
2020600570,2.0206E+12,12,260
2020600570,2.0206E+12,13,510
2020600570,2.0206E+12,14,415
2020600570,2.0206E+12,15,600
2020600570,2.0206E+12,16,549
2020600570,2.0206E+12,17,151
2020600570,2.0206E+12,18,655
2020600570,2.0206E+12,19,850
2020600570,2.0206E+12,20,780
2030100590,2.0301E+12,1,564
2030100591,2.0301E+12,1,180
2030100591,2.0301E+12,2,301
2030100591,2.0301E+12,3,877
2030100591,2.0301E+12,4,767
2030100591,2.0301E+12,5,330
2030100591,2.0301E+12,6,378
2030100591,2.0301E+12,7,363
2030100591,2.0301E+12,8,88
2030100591,2.0301E+12,9,159
2030100591,2.0301E+12,10,541
2030100591,2.0301E+12,11,124
2030100591,2.0301E+12,12,178
2030100591,2.0301E+12,13,566
2030100591,2.0301E+12,14,823
2030100591,2.0301E+12,15,212
2030100591,2.0301E+12,16,189
2030100591,2.0301E+12,17,460
2030100591,2.0301E+12,18,190
2030200609,2.0302E+12,1,497
2030200609,2.0302E+12,2,853
2030200609,2.0302E+12,3,730
2030200609,2.0302E+12,4,240
2030200609,2.0302E+12,5,501
2030200609,2.0302E+12,6,269
2030200615,2.0302E+12,1,878
2030200615,2.0302E+12,2,12
2030200615,2.0302E+12,3,59
2030200615,2.0302E+12,4,771
2030200615,2.0302E+12,5,643
2030200615,2.0302E+12,6,729
2030200615,2.0302E+12,7,353
2030200622,2.0302E+12,1,792
2030300623,2.0303E+12,1,398
2030300623,2.0303E+12,2,291
2030300623,2.0303E+12,3,221
2030300623,2.0303E+12,4,288
2030300623,2.0303E+12,5,624
2030300623,2.0303E+12,6,200
2030300623,2.0303E+12,7,842
2030300623,2.0303E+12,8,785
2030300623,2.0303E+12,9,252
2030300623,2.0303E+12,10,433
2030300623,2.0303E+12,11,411
2030300623,2.0303E+12,12,371
2030300623,2.0303E+12,13,783
2030300623,2.0303E+12,14,829
2030300623,2.0303E+12,15,880
2030300623,2.0303E+12,16,950
2030300623,2.0303E+12,17,182
2030300623,2.0303E+12,18,830
2030300623,2.0303E+12,19,820
2030300642,2.0303E+12,1,99
2030300642,2.0303E+12,2,515
2030300642,2.0303E+12,3,162
2030300642,2.0303E+12,4,403
2030300642,2.0303E+12,5,277
2030300642,2.0303E+12,6,42
2030300642,2.0303E+12,7,579
2030300642,2.0303E+12,8,979
2030300642,2.0303E+12,9,7
2030300642,2.0303E+12,10,126
2030300642,2.0303E+12,11,69
2030300642,2.0303E+12,12,762
2030300642,2.0303E+12,13,170
2030300642,2.0303E+12,14,502
2030300656,2.0303E+12,1,287
2030300656,2.0303E+12,2,829
2030300656,2.0303E+12,3,247
2030300656,2.0303E+12,4,795
2030300656,2.0303E+12,5,403
2030500661,2.0305E+12,1,417
2030500661,2.0305E+12,2,827
2030500661,2.0305E+12,3,880
2030500664,2.0305E+12,1,403
2030500664,2.0305E+12,2,797
2030500664,2.0305E+12,3,938
2030500664,2.0305E+12,4,867
2030500664,2.0305E+12,5,472
2030500664,2.0305E+12,6,5
2030500664,2.0305E+12,7,313
2030500664,2.0305E+12,8,291
2030500664,2.0305E+12,9,914
2030500664,2.0305E+12,10,321
2030500664,2.0305E+12,11,365
2030500664,2.0305E+12,12,473
2030600676,2.0306E+12,1,525
2030600676,2.0306E+12,2,747
2030600676,2.0306E+12,3,357
2030600676,2.0306E+12,4,275
2030600676,2.0306E+12,5,875
2030600676,2.0306E+12,6,743
2030600676,2.0306E+12,7,584
2030600676,2.0306E+12,8,90
2030600676,2.0306E+12,9,194
2030600676,2.0306E+12,10,504
2030600676,2.0306E+12,11,696
2030600676,2.0306E+12,12,547
2030600676,2.0306E+12,13,202
2030600676,2.0306E+12,14,880
2030700690,2.0307E+12,1,607
2030700690,2.0307E+12,2,352
2030700690,2.0307E+12,3,695
2030700690,2.0307E+12,4,60
2030700690,2.0307E+12,5,566
2030700690,2.0307E+12,6,608
2030700690,2.0307E+12,7,439
2030700690,2.0307E+12,8,471
2030700690,2.0307E+12,9,895
2030700699,2.0307E+12,1,223
2030700699,2.0307E+12,2,940
2030700699,2.0307E+12,3,111
2030800702,2.0308E+12,1,749
2030800702,2.0308E+12,2,280
2030800702,2.0308E+12,3,969
2030800702,2.0308E+12,4,775
2030800702,2.0308E+12,5,980
2030800702,2.0308E+12,6,929
2030800702,2.0308E+12,7,548
2030800702,2.0308E+12,8,330
2030800702,2.0308E+12,9,911
2030800702,2.0308E+12,10,276
2030800702,2.0308E+12,11,314
2030800702,2.0308E+12,12,714
2040100714,2.0401E+12,1,105
2040100714,2.0401E+12,2,421
2040100714,2.0401E+12,3,782
2040100714,2.0401E+12,4,58
2040100714,2.0401E+12,5,783
2040100714,2.0401E+12,6,778
2040100714,2.0401E+12,7,265
2040100714,2.0401E+12,8,341
2040100714,2.0401E+12,9,34
2040100714,2.0401E+12,10,534
2040100714,2.0401E+12,11,65
2040100714,2.0401E+12,12,489
2040100726,2.0401E+12,1,227
2040100726,2.0401E+12,2,526
2040100726,2.0401E+12,3,547
2040100726,2.0401E+12,4,143
2040100726,2.0401E+12,5,267
2040100726,2.0401E+12,6,963
2040100726,2.0401E+12,7,559
2040100726,2.0401E+12,8,815
2040100726,2.0401E+12,9,284
2040100726,2.0401E+12,10,20
2040100726,2.0401E+12,11,804
2040100726,2.0401E+12,12,160
2040100726,2.0401E+12,13,962
2040200739,2.0402E+12,1,475
2040200739,2.0402E+12,2,161
2040200739,2.0402E+12,3,289
2040200739,2.0402E+12,4,863
2040200739,2.0402E+12,5,172
2040200739,2.0402E+12,6,592
2040200739,2.0402E+12,7,421
2040200739,2.0402E+12,8,989
2040200739,2.0402E+12,9,833
2040200739,2.0402E+12,10,511
2040300749,2.0403E+12,1,784
2040300749,2.0403E+12,2,530
2040300749,2.0403E+12,3,193
2040300749,2.0403E+12,4,558
2040300749,2.0403E+12,5,843
2040300749,2.0403E+12,6,992
2040300749,2.0403E+12,7,606
2040300749,2.0403E+12,8,844
2040300749,2.0403E+12,9,888
2040300749,2.0403E+12,10,6
2040300749,2.0403E+12,11,913
2040300749,2.0403E+12,12,887
2040300749,2.0403E+12,13,431
2040300749,2.0403E+12,14,508
2040300749,2.0403E+12,15,863
2040300749,2.0403E+12,16,111
2040300749,2.0403E+12,17,357
2040300749,2.0403E+12,18,922
2040300749,2.0403E+12,19,987
2040300749,2.0403E+12,20,695
2040300769,2.0403E+12,1,945
2040300769,2.0403E+12,2,656
2040300769,2.0403E+12,3,995
2040300769,2.0403E+12,4,496
2040300769,2.0403E+12,5,994
2040300769,2.0403E+12,6,926
2040300769,2.0403E+12,7,280
2040300769,2.0403E+12,8,850
2040300769,2.0403E+12,9,205
2040300769,2.0403E+12,10,949
2040300769,2.0403E+12,11,812
2040300769,2.0403E+12,12,397
2040300769,2.0403E+12,13,272
2040300782,2.0403E+12,1,361
2040300782,2.0403E+12,2,281
2040300782,2.0403E+12,3,416
2040300782,2.0403E+12,4,539
2040300782,2.0403E+12,5,690
2040300782,2.0403E+12,6,452
2040300782,2.0403E+12,7,146
2040300782,2.0403E+12,8,204
2040300782,2.0403E+12,9,516
2040400791,2.0404E+12,1,801
2040400791,2.0404E+12,2,801
2040400791,2.0404E+12,3,9
2040400791,2.0404E+12,4,985
2040500795,2.0405E+12,1,545
2040500795,2.0405E+12,2,243
2040500795,2.0405E+12,3,361
2040500795,2.0405E+12,4,38
2040500795,2.0405E+12,5,870
2040500795,2.0405E+12,6,954
2040500795,2.0405E+12,7,638
2040500795,2.0405E+12,8,658
2040500795,2.0405E+12,9,875
2040500795,2.0405E+12,10,464
2040500795,2.0405E+12,11,474
2040500795,2.0405E+12,12,807
2040500795,2.0405E+12,13,761
2040500795,2.0405E+12,14,72
2040500795,2.0405E+12,15,92
2040500795,2.0405E+12,16,788
2050100811,2.0501E+12,1,334
2050100811,2.0501E+12,2,581
2050100811,2.0501E+12,3,577
2050100811,2.0501E+12,4,430
2050100811,2.0501E+12,5,162
2050100811,2.0501E+12,6,27
2050100811,2.0501E+12,7,843
2050100818,2.0501E+12,1,217
2050100818,2.0501E+12,2,645
